CIK,COMPANY_NAME,FILING_DATE,ACCESSION_NUMBER,SIC_CODE,SIC_DESCRIPTION,SECTOR,SHARES_OFFERED,FINAL_PRICE,GROSS_PROCEEDS,EXTRACTION_METHOD,TRAILING_REVENUE,SHARES_OUTSTANDING,IMPLIED_MARKET_CAP,PRICE_TO_SALES_RATIO,FILING_QUARTER,FILING_YEAR,SECTOR_AVG_PS,SECTOR_MEDIAN_PS,VALUATION_FLAG
1849221,Perfect Moment Ltd.,2024-02-09,0001213900-24-012180,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,Other,1334000,6.00000000,8004000.00000000,regex,21501000,35412694,212476164.00000000,9.882152644,2024-01-01,2024-01-01,59.649200047,1.389977905,Richly valued
1994702,"Kyverna Therapeutics, Inc.",2024-02-08,0001193125-24-028334,2836,"Biological Products, (No Diagnostic Substances)",Pharmaceuticals,14500000,22.00000000,319000000.00000000,regex,,,319000000.00000000,,2024-01-01,2024-01-01,81.152935495,22.384372075,No revenue data
1862150,Cingulate Inc.,2024-02-05,0001493152-24-004951,2834,Pharmaceutical Preparations,Pharmaceuticals,1375000,2.00000000,2750000.00000000,regex,,,2750000.00000000,,2024-01-01,2024-01-01,81.152935495,22.384372075,No revenue data
1999480,"Alto Neuroscience, Inc.",2024-02-05,0001193125-24-023429,2834,Pharmaceutical Preparations,Pharmaceuticals,8040000,16.00000000,128640000.00000000,regex,,,128640000.00000000,,2024-01-01,2024-01-01,81.152935495,22.384372075,No revenue data
1988894,"Amer Sports, Inc.",2024-02-02,0001104659-24-010053,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,Other,105000000,13.00000000,1365000000.00000000,regex,,,1365000000.00000000,,2024-01-01,2024-01-01,59.649200047,1.389977905,No revenue data
1865782,"BrightSpring Health Services, Inc.",2024-01-26,0001193125-24-016841,8082,Services-Home Health Care Services,Other,53333334,13.00000000,693333342.00000000,regex,12910564000,193209722,2511726386.00000000,0.1945481534,2024-01-01,2024-01-01,59.649200047,1.389977905,Cheaply valued
1868279,"ArriVent Biopharma, Inc.",2024-01-26,0001104659-24-007261,2834,Pharmaceutical Preparations,Pharmaceuticals,9722222,18.00000000,174999996.00000000,regex,,,174999996.00000000,,2024-01-01,2024-01-01,81.152935495,22.384372075,No revenue data
1991792,"CG Oncology, Inc.",2024-01-25,0001193125-24-015534,2836,"Biological Products, (No Diagnostic Substances)",Pharmaceuticals,20000000,19.00000000,380000000.00000000,regex,,,380000000.00000000,,2024-01-01,2024-01-01,81.152935495,22.384372075,No revenue data
1985487,Joint Stock Co Kaspi.kz,2024-01-19,0001193125-24-011265,7389,"Services-Business Services, NEC",Other,11300000,92.00000000,1039600000.00000000,regex,,,1039600000.00000000,,2024-01-01,2024-01-01,59.649200047,1.389977905,No revenue data
1976443,Silynxcom Ltd.,2024-01-16,0001213900-24-003774,3651,Household Audio & Video Equipment,Other,1250000,4.00000000,5000000.00000000,regex,,,5000000.00000000,,2024-01-01,2024-01-01,59.649200047,1.389977905,No revenue data
1982518,Smith Douglas Homes Corp.,2024-01-12,0001140361-24-002139,1531,Operative Builders,Other,7692308,21.00000000,161538468.00000000,regex,971116000,,161538468.00000000,0.1663431228,2024-01-01,2024-01-01,59.649200047,1.389977905,Cheaply valued
